id,acc
0,0.0
1,0.7667013777635373
2,0.7693447612944571
3,0.7286126241589235
4,0.7422701057353412
5,0.7693447612944571
6,0.7695049663569369
7,0.7703860942005767
8,0.7725088112784364
9,0.7850448574174944
10,0.7840035245113746
11,0.7838032681832746
12,0.8148429990387697
13,0.8277093554954774
14,0.8267748072494242
15,0.8323487200026701
16,0.83274924067955
17,0.8330830079102833
18,0.8365875638329828
19,0.8373552284636694
20,0.8358198992022963
21,0.8373552284636694
22,0.8363205500483962
23,0.8389239344481159
24,0.8395914689095825
25,0.8398584826941691
